country_code,country,region,overall_score
FIN,Finland,OECD,86.76059478
SWE,Sweden,OECD,85.98139698
DNK,Denmark,OECD,85.68363681
DEU,,OECD,83.35844651
AUT,Austria,OECD,
FRA,France,OECD,82.04834271
NOR,Norway,OECD,82.00448915
CZE,Czechia,OECD,81.87455223
POL,Poland,OECD,81.80017556
EST,Estonia,OECD,81.68334647
GBR,United Kingdom,OECD,81.65314272
HRV,,E. Europe & C. Asia,81.49550882
SVN,Slovenia,OECD,81.00665366
LVA,Latvia,OECD,80.68164288
CHE,Switzerland,OECD,80.53738907
ESP,Spain,OECD,80.42509149
IRL,Ireland,OECD,80.14793835
PRT,Portugal,OECD,
BEL,Belgium,OECD,79.45505844
NLD,,OECD,79.42118915
JPN,Japan,OECD,79.41412774
HUN,Hungary,,79.39344534
SVK,Slovak Republic,OECD,79.12032612
ITA,Italy,OECD,78.78683607
MDA,,E. Europe & C. Asia,78.63437562
CAN,Canada,OECD,78.49677968
NZL,New Zealand,OECD,78.43333065
GRC,Greece,OECD,78.36883446
ISL,Iceland,OECD,78.26644181
CHL,Chile,OECD,78.22377122
KOR,"Korea, Rep.",OECD,78.06195027
URY,Uruguay,LAC,77.73837361
LUX,Luxembourg,OECD,77.64534955
BLR,Belarus,E. Europe & C. Asia,na
ROU,Romania,E. Europe & C. Asia,77.46052633
SRB,Serbia,E. Europe & C. Asia,77.33697175
LTU,Lithuania,OECD,76.80511203
UKR,Ukraine,E. Europe & C. Asia,76.51769791
USA,United States,OECD,75.91439705
AUS,Australia,OECD,75.90411851
MLT,Malta,E. Europe & C. Asia,75.52944579
GEO,Georgia,E. Europe & C. Asia,75.01713789
THA,Thailand,East & South Asia,74.73862913
BGR,Bulgaria,E. Europe & C. Asia,74.62004755
KGZ,Kyrgyz Republic,E. Europe & C. Asia,74.4054343
CUB,Cuba,LAC,74.13561626
BIH,Bosnia and Herzegovina,E. Europe & C. Asia,74.01986096
ISR,Israel,OECD,73.97033908
RUS,Russian Federation,E. Europe & C. Asia,73.78628002
BRA,Brazil,LAC,73.68939304
ARG,Argentina,LAC,73.68521877
CRI,,OECD,73.55689326
AZE,Azerbaijan,E. Europe & C. Asia,73.52747282
ALB,Albania,E. Europe & C. Asia,73.50609736
VNM,Vietnam,East & South Asia,73.32232265
ARM,Armenia,E. Europe & C. Asia,73.25805222
FJI,Fiji,Oceania,72.87704416
TUN,Tunisia,MENA,72.50349745
CYP,Cyprus,E. Europe & C. Asia,72.49166359
MKD,North Macedonia,E. Europe & C. Asia,72.46901727
BTN,Bhutan,East & South Asia,72.33907578
DOM,Dominican Republic,LAC,72.13519314
CHN,China,East & South Asia,72.00816749
SGP,Singapore,East & South Asia,71.77703382
PER,Peru,LAC,71.65907643
KAZ,Kazakhstan,E. Europe & C. Asia,71.64826315
MNE,Montenegro,E. Europe & C. Asia,71.40438382
MDV,Maldives,East & South Asia,71.27199736
UZB,Uzbekistan,E. Europe & C. Asia,71.14824663
MAR,Morocco,MENA,70.86945567
DZA,Algeria,MENA,70.83361592
TUR,T�rkiye,OECD,70.77861136
SLV,El Salvador,LAC,70.65896551
ECU,Ecuador,LAC,70.43423838
IDN,Indonesia,East & South Asia,70.16289734
COL,Colombia,OECD,70.05009086
JOR,Jordan,MENA,69.87478579
MYS,Malaysia,East & South Asia,69.8497457
ARE,United Arab Emirates,MENA,69.71476573
MEX,Mexico,OECD,69.70547768
EGY,"Egypt, Arab Rep.",MENA,69.61848903
JAM,,LAC,69.59087411
LKA,Sri Lanka,East & South Asia,69.40149899
BRB,Barbados,LAC,69.35155723
